Id	VoiceId	TimelinePath	CharacterPrefabPath	WeaponPrefabPaths[1]	WeaponPrefabPaths[2]	WeaponPrefabPaths[3]	WeaponPrefabPaths[4]	WeaponPrefabPaths[5]	WeaponPrefabPaths[6]	WeaponMountBoneNames[1]	WeaponMountBoneNames[2]	WeaponMountBoneNames[3]	WeaponMountBoneNames[4]	WeaponMountBoneNames[5]	WeaponMountBoneNames[6]	CameraPrefabPath	MainCameraPrefabPath	UiShowTime	EffectPrefabPaths[1]	EffectPrefabPaths[2]	EffectPrefabPaths[3]	EffectPrefabPaths[4]	EffectPrefabPaths[5]	EffectPrefabPaths[6]	EffectPrefabPaths[7]	EffectPrefabPaths[8]	EffectPrefabPaths[9]	EffectPrefabPaths[10]	EffectPrefabPaths[11]	EffectPrefabPaths[12]	EffectPrefabPaths[13]	EffectBoneNames[1]	EffectBoneNames[2]	EffectBoneNames[3]	EffectBoneNames[4]	EffectBoneNames[5]	EffectBoneNames[6]	EffectBoneNames[7]	EffectBoneNames[8]	EffectBoneNames[9]	EffectBoneNames[10]	EffectBoneNames[11]	EffectBoneNames[12]	EffectBoneNames[13]
1041003	104170	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3BiankaMd010011.playable	Assets/Product/Role/CharaterPrefab/R3BiankaMd010011.prefab	Assets/Product/Role/WeaponPrefab/E1BowMd030011.prefab						WeaponCase1						Assets/Product/Camera/Track/R3BiankaMd010011/Common/CTBianka03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	2.5599	Assets/Product/Effect/Prefab/FxR3Bianka/Common/FxR3BiankaWin.prefab													EffectRoot												
1291003	166080	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3BuouxiongMd010011.playable	Assets/Product/Role/CharaterPrefab/R3BuouxiongMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2ShoesMd010011R.prefab	Assets/Product/Role/WeaponPrefab/E2ShoesMd010011L.prefab					WeaponCase1	WeaponCase2					Assets/Product/Camera/Track/R3BuouxiongMd010021/Common/CTBuouxiong03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	4.4299	Assets/Product/Effect/Prefab/FxR3BuouxiongPrefab/Common/FxR3BuouxiongWinPingmu.prefab	Assets/Product/Effect/Prefab/FxR3BuouxiongPrefab/Common/FxR3BuouxiongWin.prefab	Assets/Product/Effect/Prefab/FxR3BuouxiongPrefab/Common/FxR3BuouxiongAtk50Bip001Head.prefab											MainCamera	EffectRoot	Bip001Head										
1321003	155078	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3CibeizheMd010011.playable	Assets/Product/Role/CharaterPrefab/R3CibeizheMd010011.prefab	Assets/Product/Role/WeaponPrefab/E1CommonEmptyMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2KeywandMd010011.prefab					WeaponCase1	WeaponCase2					Assets/Product/Camera/Track/R3CibeizheMd010021/Common/CTCibeizhe03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	7.13	Assets/Product/Effect/Prefab/FxR3CibeizhePrefab/Common/FxR3CibeizheWin01.prefab	Assets/Product/Effect/Prefab/FxR3CibeizhePrefab/Common/FxR3CibeizheWin02.prefab	Assets/Product/Effect/Prefab/FxR3CibeizhePrefab/Common/FxR3CibeizheWinPingmu.prefab	Assets/Product/Effect/Prefab/FxR3CibeizhePrefab/Common/FxR3CibeizheWinPingmu02.prefab	Assets/Product/Effect/Prefab/FxR3CibeizhePrefab/Common/FxR3CibeizheWinMA01.prefab	Assets/Product/Effect/Prefab/FxR3CibeizhePrefab/Common/FxR3CibeizheWinMA02.prefab								Bip001RFinger22	EffectRoot	MainCamera	MainCamera	EffectRoot	EffectRoot							
1241003	150077	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3HanyingMd010011.playable	Assets/Product/Role/CharaterPrefab/R3HanyingMd010011.prefab	Assets/Product/Role/WeaponPrefab/E1CommonEmptyMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2PipaMd010011.prefab					WeaponCase1	WeaponCase2					Assets/Product/Camera/Track/R3HanyingMd010021/Common/CTHanying03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	5.86	Assets/Product/Effect/Prefab/FxR3HanyingPrefab/Common/FxR3HanyingWin.prefab	Assets/Product/Effect/Prefab/FxR3HanyingPrefab/Common/FxR3HanyingWinTrail.prefab	Assets/Product/Effect/Prefab/FxR3HanyingPrefab/Common/FxR3HanyingWinChuxian.prefab	Assets/Product/Effect/Prefab/FxR3HanyingPrefab/Common/FxR3HanyingAtkWeapon.prefab										EffectRoot	WeaponCaseR	EffectRoot	WeaponCase2									
1071003	107170	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3KalieninaMd010011.playable	Assets/Product/Role/CharaterPrefab/R3KalieninaMd010011.prefab	Assets/Product/Role/WeaponPrefab/E1SleeveMd030011.prefab						WeaponCase1						Assets/Product/Camera/Track/R3KalieninaMd010011/Common/CTKalinina03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	2.4	Assets/Product/Effect/Prefab/FxR3KalieninaPrefab/Common/FxR3KalieninaWin.prefab	Assets/Product/Effect/Prefab/FxR3KalieninaPrefab/Common/FxR3Kalienina019101Lianhong.prefab												EffectRoot	MarkCase											
1121003	123078	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3KuluomuMd010011.playable	Assets/Product/Role/CharaterPrefab/R3KuluomuMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2GunbladeMainMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2GunbladeSubMd010011.prefab					WeaponCase1	WeaponCase2					Assets/Product/Camera/Track/R3KuluomuMd010011/Common/CTKuluomu03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	3.23	Assets/Product/Effect/Prefab/FxR3KuluomuPrefab/Common/FxR3KuluomuWin.prefab	Assets/Product/Effect/Prefab/FxR3KuluomuPrefab/Common/FxR3KuluomuWinWp1.prefab	Assets/Product/Effect/Prefab/FxR3KuluomuPrefab/Common/FxR3KuluomuWinBip001LHand.prefab											EffectRoot	WeaponCase1	Bip001LHand										
1271003	143078	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3LamiyaMd010011.playable	Assets/Product/Role/CharaterPrefab/R3LamiyaMd010011HX.prefab	Assets/Product/Role/WeaponPrefab/E2LamiyaMd010011.prefab						WeaponCase1						Assets/Product/Camera/Track/R3LamiyaMd010031/Common/CTLamiya03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	5.23	Assets/Product/Effect/Prefab/FxR3LamiyaPrefab/Common/FxR3LamiyaWin.prefab	Assets/Product/Effect/Prefab/FxR3LamiyaPrefab/Common/FxR3LamiyaWinTailBoneM02.prefab	Assets/Product/Effect/Prefab/FxR3LamiyaPrefab/Common/FxR3LamiyaWinPingmu.prefab											EffectRoot	TailBoneM02	MainCamera										
1011003	101170	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3LiangMd010011.playable	Assets/Product/Role/CharaterPrefab/R3LiangMd010011.prefab	Assets/Product/Role/WeaponPrefab/E1GunMd030011.prefab	Assets/Product/Role/WeaponPrefab/E1GunMd030011.prefab					WeaponCase1	WeaponCase2					Assets/Product/Camera/Track/R3LiangMd010011/Common/CTLiang03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	1.8999	Assets/Product/Effect/Prefab/FxR3LiangPrefab/Common/FxR3LiangWin.prefab													EffectRoot												
1031003	103170	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3LifuMd010011.playable	Assets/Product/Role/CharaterPrefab/R3LifuMd010011.prefab	Assets/Product/Role/WeaponPrefab/E1FloatMd030011.prefab	Assets/Product/Role/WeaponPrefab/E1FloatMd030011.prefab					WeaponCase1	WeaponCase2					Assets/Product/Camera/Track/R3LifuMd010011/Common/CTLifu03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	3.23	Assets/Product/Effect/Prefab/FxR3LifuPrefab/Common/FxR3LifuWin.prefab													EffectRoot												
1331003	156086	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3LilithMd010011.playable	Assets/Product/Role/CharaterPrefab/R3LilithMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2BrollyMd010011.prefab						WeaponCase1						Assets/Product/Camera/Track/R3LilithMd010011/Common/CTLilith03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	5.63	Assets/Product/Effect/Prefab/FxR3LilithPrefab/Common/FxR3LilithWin04.prefab	Assets/Product/Effect/Prefab/FxR3LilithPrefab/Common/FxR3LilithWin01.prefab	Assets/Product/Effect/Prefab/FxR3LilithPrefab/Common/FxR3LilithWin02.prefab	Assets/Product/Effect/Prefab/FxR3LilithPrefab/Common/FxR3LilithWin03.prefab	Assets/Product/Effect/Prefab/FxR3LilithPrefab/Common/FxR3LilithWinTrail01.prefab									EffectRoot	cardRoot001|cardRoot002|cardRoot003|cardRoot004|cardRoot005|cardRoot006|cardRoot007|cardRoot008|cardRoot009|cardRoot010	EffectRoot	MainCamera	EffectRoot								
1171003	120077	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3LunaMd010011.playable	Assets/Product/Role/CharaterPrefab/R3LunaMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2RingMd010011.prefab						WeaponCase1						Assets/Product/Camera/Track/R3LunaMd010011/Common/CTLuna03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	4.1599	Assets/Product/Effect/Prefab/FxR3LunaPrefab/Common/FxR3LunaWin.prefab	Assets/Product/Effect/Prefab/FxR3LunaPrefab/Common/FxR3LunaWintuowei.prefab	Assets/Product/Effect/Prefab/FxR3LunaPrefab/Common/FxR3LunaWintuowei01.prefab											EffectRoot	WeaponCase3|WeaponCase4|WeaponCase5|WeaponCase6	WeaponCase7|WeaponCase8										
1141003	114071	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3LuosaitaMd010011.playable	Assets/Product/Role/CharaterPrefab/R3LuosaitaMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2SpearJavelinMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2SpearShieldMd010011.prefab					WeaponCase1	WeaponCase2					Assets/Product/Camera/Track/R3LuosaitaMd010011/Common/CTLuosaita03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	3.43	Assets/Product/Effect/Prefab/FxR3LuosaitaPrefab/Common/FxR3LuosaitaBone002B.prefab	Assets/Product/Effect/Prefab/FxR3LuosaitaPrefab/Common/FxR3LuosaitaBone002mirroredB.prefab	Assets/Product/Effect/Prefab/FxR3LuosaitaPrefab/Common/FxR3LuosaitaWin.prefab											Bone002	Bone002mirrored	EffectRoot										
1021003	1021038	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3LuxiyaMd010011.playable	Assets/Product/Role/CharaterPrefab/R3LuxiyaMd010011.prefab	Assets/Product/Role/WeaponPrefab/E1SwordMd030011.prefab						WeaponCase1						Assets/Product/Camera/Track/R3LuxiyaMd010011/Common/CTLuxiya03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	3.9	Assets/Product/Effect/Prefab/FxR3LuxiyaPrefab/Common/FxR3LuxiyaWin.prefab													EffectRoot												
1391003	168137	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3NietiyaMd010011.playable	Assets/Product/Role/CharaterPrefab/R3NietiyaMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2SickleMd010011.prefab						WeaponCase1						Assets/Product/Camera/Track/R3NietiyaMd010021/Common/CTNietiya03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	6.5599	Assets/Product/Effect/Prefab/FxR3NietiyaPrefab/Common/FxR3NietiyaWin01.prefab	Assets/Product/Effect/Prefab/FxR3NietiyaPrefab/Common/FxR3NietiyaWin02.prefab	Assets/Product/Effect/Prefab/FxR3NietiyaPrefab/Common/FxR3NietiyaWin03.prefab	Assets/Product/Effect/Prefab/FxR3NietiyaPrefab/Common/FxR3NietiyaWin04.prefab	Assets/Product/Effect/Prefab/FxR3NietiyaPrefab/Common/FxR3NietiyaWin05.prefab	Assets/Product/Effect/Prefab/FxR3NietiyaPrefab/Common/FxR3NietiyaWin07Pingmu.prefab	Assets/Product/Effect/Prefab/FxR3NietiyaPrefab/Common/FxR3NietiyaWin08.prefab	Assets/Product/Effect/Prefab/FxR3NietiyaPrefab/Common/FxR3NietiyaWin06.prefab						EffectRoot	Bip001Prop1	EffectRoot	BirdBoneM01	BirdBoneM03	MainCamera	EffectRoot	EffectRoot					
1191003	118060	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3NinesMd010011.playable	Assets/Product/Role/CharaterPrefab/R3NinesMd010011.prefab	Assets/Product/Role/WeaponPrefab/E39SMd010011.prefab						WeaponCase1						Assets/Product/Camera/Track/R3NinesMd010011/CTNines03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	2.5599	Assets/Product/Effect/Prefab/FxR3NinesPrefab/Common/FxR3NinesWin.prefab													EffectRoot												
1521004	146073	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3QuMd010011.playable	Assets/Product/Role/CharaterPrefab/R3QuMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2JianMd010011.prefab	Assets/Product/Role/CharaterPrefab/R3QupeacockMd010011.prefab					WeaponCase1						Assets/Product/Camera/Track/R3QuMd010031/Common/CTQu03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	5.9	Assets/Product/Effect/Prefab/FxR3QuPrefab/Common/FxR3QuWin.prefab	Assets/Product/Effect/Prefab/FxR3QuPrefab/Common/FxR3QuWinPingmu.prefab												EffectRoot	MainCamera											
1531003	121078	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3SailinnaMd010011.playable	Assets/Product/Role/CharaterPrefab/R3SailinnaMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2CelloMainMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2CelloSubMd010011.prefab					WeaponCase1	WeaponCase2					Assets/Product/Camera/Track/R3SailinnaMd010011/Common/CTSailinna03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	4.0999	Assets/Product/Effect/Prefab/FxR3Sailinna/Common/FxR3SailinnaWin.prefab	Assets/Product/Effect/Prefab/FxR3Sailinna/Common/FxR3SailinnaWin01.prefab												EffectRoot	WeaponCase2											
1061003	1061017	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3ShenweiMd010011.playable	Assets/Product/Role/CharaterPrefab/R3ShenweiMd010011.prefab	Assets/Product/Role/WeaponPrefab/E1ClaymoreMd030011.prefab						WeaponCase1						Assets/Product/Camera/Track/R3ShenweiMd010011/Common/CTShenwei03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	1.73	Assets/Product/Effect/Prefab/FxR3ShenweiPrefab/Common/FxR3ShenweiWin.prefab													EffectRoot												
1221003	140078	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3TwentyoneMd010011.playable	Assets/Product/Role/CharaterPrefab/R3TwentyoneMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2ClawMd010011L.prefab	Assets/Product/Role/WeaponPrefab/E2ClawMd010011R.prefab					WeaponCase1	WeaponCase2					Assets/Product/Camera/Track/R3TwentyoneMd010011/Common/CTTwentyone03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	5.23	Assets/Product/Effect/Prefab/FxR3TwentyonePrefab/Common/FxR3TwentyoneWin.prefab													EffectRoot												
1181003	117063	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3TwobMd010011.playable	Assets/Product/Role/CharaterPrefab/R3TwobMd010011.prefab	Assets/Product/Role/WeaponPrefab/E32BSwordMd010011P01.prefab	Assets/Product/Role/WeaponPrefab/E32BBroadswordMd010011.prefab					WeaponCaseEx1	WeaponCaseEx2					Assets/Product/Camera/Track/R3TwobMd010011/CTTwob03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	3.13	Assets/Product/Effect/Prefab/FxR3TwobPrefab/FxR3TwobWin.prefab													EffectRoot												
1351003	161080	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3VergilMd010011.playable	Assets/Product/Role/CharaterPrefab/R3VergilMd010011.prefab	Assets/Product/Role/WeaponPrefab/E3VyamatoMd010012.prefab	Assets/Product/Role/WeaponPrefab/E3VyamatoMd010011.prefab	Assets/Product/Role/WeaponPrefab/E3VmirageedgeMd010011.prefab	Assets/Product/Role/WeaponPrefab/E3VbeowulfMd010011.prefab			WeaponCase1	WeaponCase2	WeaponCase3	WeaponCase4			Assets/Product/Camera/Track/R3VergilMd010011/CTVergil03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	6.3299	Assets/Product/Effect/Prefab/FxR3VergilPrefab/Common/FxR3VergilMd010011Win.prefab													EffectRoot												
1211003	151073	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3WanshiMd010011.playable	Assets/Product/Role/CharaterPrefab/R3WanshiMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2RevolverMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2RevolverMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2RevolverMd010011.prefab				WeaponCase1	WeaponCase2	WeaponCase4				Assets/Product/Camera/Track/R3WanshiMd010031/Common/CTWanshi03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	6.0599																										
1131003	125078	Assets/Product/Ui/Animation/DrawCollaboration/UiNewDrawMainPerformance/PerformanceR3WeilaMd010011.playable	Assets/Product/Role/CharaterPrefab/R3WeilaMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2LanceSubMd010011.prefab	Assets/Product/Role/WeaponPrefab/E2LanceMainMd010011.prefab					WeaponCase1	WeaponCase2					Assets/Product/Camera/Track/R3WeilaMd010031/Common/CTWeila03Win.prefab	Assets/Product/Camera/SceneCamera/165.prefab	4.4	Assets/Product/Effect/Prefab/FxR3WeilaPrefab/Common/FxR3WeilaWin.prefab	Assets/Product/Effect/Prefab/FxR3WeilaPrefab/Common/FxR3WeilaWinTrail.prefab												EffectRoot	WeaponCase2											
