Id	Priority	UpProbability	Bg	ProbabilityBg	UpProbabilityDesc	UpProbabilityPercent	IsChangePos	IconPosX	IconPosY	IsChangeSize	IconWidth	IconHeight	IsChangeRot	RotZ	NewTimeId
322	8180	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-4.0	11.5	1	457.14	494.73	1	-10.0	
323	8190	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	10.0	12.0	1	515.27	557.63	1	-10.0	
324	8200	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-1.0	12.0	1	472.5	511.3399	1	-10.0	
325	8210	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-22.0	-11.0	1	698.21	755.6199	1	-10.0	
326	8220	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-4.0	-5.0	1	625.52	676.95	1	-10.0	
327	8230	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1		23.0	1	606.3599	656.21	1	-10.0	
328	8240	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	3.0	4.0	1	678.4199	734.2	1	-10.0	
329	8250	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-21.0	-29.0	1	557.4	603.2199	1	-10.0	
330	8260	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-16.0	2.0	1	593.2299	642.0	1	-10.0	
331	8270	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	1.0	7.0	1	573.9899	621.1799	1	-10.0	
332	8280	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-30.0	20.0	1	602.01	651.51	1		
333	8290	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-2.0	-6.0	1	551.89	597.27	1	-10.0	
334	8300	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	16.0	35.0	1	613.94	664.4099	1	-10.0	
335	8310	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-21.0	20.0	1	675.5	731.03	1	-10.0	
336	8320	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-8.0	37.0	1	613.94	664.4099	1	-10.0	
337	8330	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-16.0	19.0	1	622.03	673.1699	1	-10.0	
338	8340	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-17.5	-7.8	1	580.6799	628.4199	1	-10.0	
339	8350	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-32.0	-19.0	1	607.1699	657.08	1	-10.0	
340	8360	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-19.0	-39.0	1	608.8699	658.9299	1	-10.0	
341	8370	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-8.0	9.0	1	613.94	664.4099	1	-10.0	
342	8380	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-8.0	9.0	1	613.94	664.4099	1	-10.0	
343	8390	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-22.0	9.0	1	475.5	514.5999	1	-10.0	
344	8400	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-25.0	26.0	1	571.77	618.77	1	-10.0	
345	8410	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-43.0	-64.0	1	612.58	662.94	1	-10.0	
346	8420	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	-13.0	14.0	1	455.72	493.1799	1	-10.0	
347	8430	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	2.0	7.0	1	613.94	664.4	1	-10.0	
348	8440	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	2.0	7.0	1	613.94	664.4	1	-10.0	
349	8450	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%	1	1.0	7.0	1	538.0	582.0	1	-16.5	
350	8460	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									
351	8470	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									
352	9900	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									
353	8480	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									
354	8490	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									
355	8500	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									
356	8510	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									
357	8520	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									26908
358	8530	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									27951
359	8540	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									28220
360	8550	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									29753
361	8560	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									30851
362	8570	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									32970
363	8580	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									33850
364	8590	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									34760
365	8600	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									35540
366	8610	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									36510
367	8620	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									37907
368	8630	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									
369	8640	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									
370	8650	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									39723
371	8660	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									40902
372	8670	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									41317
373	8680	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									42721
374	8690	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									43905
375	8700	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									44418
376	8710	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									45716
377	8720	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									46711
378	8740	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									47705
379	8730	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									47706
380	8720	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									48144
382	8700	<color=#26bbf9>80% rate in 6★ pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	Rate in 6★ pool:	80%									49311
1030	10000	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1031	9990	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1032	9980	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1033	9970	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1034	9960	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1035	9950	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1037	10000	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1038	9990	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1039	9980	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1040	9970	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1041	9960	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1042	9950	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1043	10000	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1044	9990	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1045	9980	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1046	9970	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1047	9960	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1048	9950	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1050	10000	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1051	9990	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1052	9980	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1053	9970	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1054	9960	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1055	9950	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1056	9940	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1057	9930	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
1058	9920	<color=#26bbf9>70% rate in S-Rank pool</color>	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png	Rate in S-Rank pool:	70%									
