GroupId	GroupName	Desc	BaseStage	StageId[1]	StageId[2]	StageId[3]	FightInfoId[1]	FightInfoId[2]	FightInfoId[3]	TeamFightSeq	GroupOrderId	NeedPoint	ClearOpen	PreGroupId
2003	3rd Battle	Description	12200305	12200302	12200303	12200305	12200302	12200303	12200305	1|2|3	3			2002
2101	1st Battle	Description	12210101	12210105	12210102	12210101	12210105	12210102	12210101	1|2|3	1			2003
2102	2nd Battle	Description	12210205	12210201	12210204	12210205	12210201	12210204	12210205	1|2|3	2			2101
2103	3rd Battle	Description	12210305	12210302	12210303	12210305	12210302	12210303	12210305	1|2|3	3			2102
2201	1st Battle	Description	12220103	12220101	12220102	12220103	12220101	12220102	12220103	1|2|3	1			2103
2202	2nd Battle	Description	12220106	12220104	12220105	12220106	12220104	12220105	12220106	1|2|3	2			2201
2203	3rd Battle	Description	12220109	12220107	12220108	12220109	12220107	12220108	12220109	1|2|3	3			2202
2301	1st Battle	Description	12230103	12230101	12230102	12230103	12230101	12230102	12230103	1|2|3	1			2203
2302	2nd Battle	Description	12230106	12230104	12230105	12230106	12230104	12230105	12230106	1|2|3	2			2301
2303	3rd Battle	Description	12230109	12230107	12230108	12230109	12230107	12230108	12230109	1|2|3	3			2302
2401	1st Battle	Description	12240103	12240101	12240102	12240103	12240101	12240102	12240103	1|2|3	1			2303
2402	2nd Battle	Description	12240106	12240104	12240105	12240106	12240104	12240105	12240106	1|2|3	2			2401
2403	3rd Battle	Description	12240109	12240107	12240108	12240109	12240107	12240108	12240109	1|2|3	3			2402
2501	1st Battle	Description	12250103	12250101	12250102	12250103	12250101	12250102	12250103	1|2|3	1			2403
2502	2nd Battle	Description	12250106	12250104	12250105	12250106	12250104	12250105	12250106	1|2|3	2			2501
2503	3rd Battle	Description	12250109	12250107	12250108	12250109	12250107	12250108	12250109	1|2|3	3			2502
2601	1st Battle	Description	12260103	12260101	12260102	12260103	12260101	12260102	12260103	1|2|3	1			2503
2602	2nd Battle	Description	12260106	12260104	12260105	12260106	12260104	12260105	12260106	1|2|3	2			2601
2603	3rd Battle	Description	12260109	12260107	12260108	12260109	12260107	12260108	12260109	1|2|3	3			2602
