Id	CharacterName	Desc	HeadIcon	CgAssetPathLocked	CgAssetPathUnlocked	OpenEffectAssetPath	StoryId	ModelId	IsFemale
11	Sophia	Tricks hidden beneath the deck\nThe white-haired Hyena's day off	Assets/Product/Texture/Image/Role/RoleHeadSufeiyaQ.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg025.png	Assets/Product/Texture/Image/BgCg/Cg6701_36.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05524BA	QR2SufeiyaMd010011TX	1
12	Chrome	Late-night chess, left unfinished\nA mysterious gift on the young captain's ear	Assets/Product/Texture/Image/Role/RoleHeadR3KuluomuQ.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg019.png	Assets/Product/Texture/Image/BgCg/Cg6701_30.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05518BA	QR3KuluomuMd010011TX	
13	Vera	A red-haired construct\nTo her, you're something to own.	Assets/Product/Texture/Image/Role/RoleHeadR4Weila1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg028.png	Assets/Product/Texture/Image/BgCg/Cg6701_39.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05528BA	QR4WeilaMd010011TX	1
14	Camu	Fine pastries on a sunset terrace\nA wild one's favorite, though he'd never admit it	Assets/Product/Texture/Image/Role/RoleHeadKamuQ.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg026.png	Assets/Product/Texture/Image/BgCg/Cg6701_37.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05526BA	QR2KamuMd010011TX	
15	Rosetta	The Destiny Index Adventure\nAn answer she's kept hidden, even from her "bad luck"	Assets/Product/Texture/Image/Role/RoleHeadR4Luosaita1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg036.png	Assets/Product/Texture/Image/BgCg/Cg6701_47.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05536BA	QR4LuosaitaMd010011TX	1
16	Changyu	Misty dawn in old Kowloong\nCatching rain from the sky,\njust the two of you	Assets/Product/Texture/Image/Role/RoleHeadChangYuQ.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg011.png	Assets/Product/Texture/Image/BgCg/Cg6701_22.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05510BA	QR1ChangyuMd010011TX	
17	Qu	Fresh tea beneath the covered walk\nA stern monarch's own hands, tending what he's grown for you	Assets/Product/Texture/Image/Role/RoleHeadR3Qu1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg003.png	Assets/Product/Texture/Image/BgCg/Cg6701_14.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05502BA	QR3QuMd010011TX	1
18	Luna	The moon in the water slips away\nA night beneath the moon, with a silver-haired girl	Assets/Product/Texture/Image/Role/RoleHeadR4Luna1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg027.png	Assets/Product/Texture/Image/BgCg/Cg6701_38.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05527BA	QR4LunaMd010011TX	1
19	Wanshi	Snow Owl plush on the exam table\nThe Sleepyhead doctor's prescription for the soul	Assets/Product/Texture/Image/Role/RoleHeadR3Wanshi1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg014.png	Assets/Product/Texture/Image/BgCg/Cg6701_25.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05513BA	QR3WanshiMd010011TX	
20	Selena	Flower arranging under glass,\nA songstress's feelings, tucked between the petals	Assets/Product/Texture/Image/Role/RoleHeadR5Sailinna1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg024.png	Assets/Product/Texture/Image/BgCg/Cg6701_35.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05523BA	QR5SailinnaMd010011TX	1
21	No. 21	She reaches out her little "paws", nuzzling your hand\nJust wanting to lie in the grass with you	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg004.png	Assets/Product/Texture/Image/BgCg/Cg6701_15.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05503BA	QR3TwentyoneMd010011TX	1
22	Roland	A knight by day, a prince by night\nA one-act play, staged just for you	Assets/Product/Texture/Image/Role/RoleHeadLuolanQnew.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg013.png	Assets/Product/Texture/Image/BgCg/Cg6701_24.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05512BA	QR2LuolanMd010011TX	
23	Pulao	<size=29>The lively clatter of a street food stall\nA cheerful girl, sharing every bite with you</size>	Assets/Product/Texture/Image/Role/RoleHeadPulaoQnew.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg022.png	Assets/Product/Texture/Image/BgCg/Cg6701_33.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05521BA	QR2PulaoMd010011TX	1
24	Haicma	An afternoon in the library\nWith Heuristic Artificial Intelligence Caretaking Machine-Alpha	Assets/Product/Texture/Image/Role/RoleHeadHakamaQnew.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg038.png	Assets/Product/Texture/Image/BgCg/Cg6701_49.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05538BA	QR2HakamaMd010011TX	1
25	Noan	A model train, signal gone quiet\nHe'll cut against the current just to reach you	Assets/Product/Texture/Image/Role/RoleHeadNuoanQnew.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg020.png	Assets/Product/Texture/Image/BgCg/Cg6701_31.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05519BA	QR2NuoanMd010011TX	
26	Bambinata	A tank of goldfish at the pet market\nA porcelain doll's quiet wish to be remembered	Assets/Product/Texture/Image/Role/RoleHeadR2Bangbinata1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg033.png	Assets/Product/Texture/Image/BgCg/Cg6701_44.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05533BA	QR2BangbinataMd010011TX	1
27	Hanying	Echoes still linger in the dance hall\nA showgirl from the Nighter, offering you her heart	Assets/Product/Texture/Image/Role/RoleHeadR3Hanying1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg018.png	Assets/Product/Texture/Image/BgCg/Cg6701_29.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05517BA	QR3HanyingMd010011TX	1
28	Noctis	A jet ski tearing across the waves\nOne big guy's need for speed	Assets/Product/Texture/Image/Role/RoleHeadR2Nuoketi1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg010.png	Assets/Product/Texture/Image/BgCg/Cg6701_21.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05509BA	QR2NuoketiMd010011TX	
29	Alisa	Sunny afternoon fuse bead time\nA blue-haired girl's meticulous romance	Assets/Product/Texture/Image/Role/RoleHeadR3Yalisha1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg009.png	Assets/Product/Texture/Image/BgCg/Cg6701_20.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05508BA	QR3YalishaMd010011TX	1
30	Lamia	A shy blue-haired girl\nAnd your secret hideout beneath the waves	Assets/Product/Texture/Image/Role/RoleHeadR3Lamiya1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg006.png	Assets/Product/Texture/Image/BgCg/Cg6701_17.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05505BA	QR3LamiyaMd010011TX	1
31	Teddy	Fireworks from the Golden Age\nA sharp-tongued young lady and her coded playground	Assets/Product/Texture/Image/Role/RoleHeadR3Buouxiong1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg029.png	Assets/Product/Texture/Image/BgCg/Cg6701_40.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05529BA	QR3BuouxiongMd010011TX	1
32	Bridget	A dust cloud on the gravel road\nThe boss lady's invitation, at full throttle	Assets/Product/Texture/Image/Role/RoleHeadR2Bulijite1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg008.png	Assets/Product/Texture/Image/BgCg/Cg6701_19.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05507BA	QR2BulijiteMd010011TX	1
33	Yata	Two Fists Can't Beat Six Hands\nA Double Seventh Festival special mission	Assets/Product/Texture/Image/Role/RoleHeadR2Bazhi1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg005.png	Assets/Product/Texture/Image/BgCg/Cg6701_16.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05504BA	QR2BazhiMd010011TX	1
34	Ishmael	A mysterious pink-haired woman\nAnd a Double Seventh Festival that defies all logic	Assets/Product/Texture/Image/Role/RoleHeadR3Cibeizhe1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg002.png	Assets/Product/Texture/Image/BgCg/Cg6701_13.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05501BA	QR3CibeizheMd010011TX	1
35	Lilith	An elusive grey-haired woman\nA chase as elegant as it is dangerous	Assets/Product/Texture/Image/Role/RoleHeadR3Lilith1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg035.png	Assets/Product/Texture/Image/BgCg/Cg6701_46.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05535BA	QR3LilithMd010011TX	1
36	Jetavie	The Chosen One\nA sky-high revel with a little devil	Assets/Product/Texture/Image/Role/RoleHeadR2Jietawei1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg023.png	Assets/Product/Texture/Image/BgCg/Cg6701_34.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05522BA	QR2JietaweiMd010011TX	1
37	Discord	A nimble tailor's origami magpie bridge\nThe scissors maiden's devotion	Assets/Product/Texture/Image/Role/RoleHeadR2Xiezou1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg032.png	Assets/Product/Texture/Image/BgCg/Cg6701_43.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05532BA	QR2XiezouMd010011TX	1
38	Veronica	A build-off,\nand neither of you backs down\nTime spent with the aloof Mechanoid	Assets/Product/Texture/Image/Role/RoleHeadR3Weiluonika1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg030.png	Assets/Product/Texture/Image/BgCg/Cg6701_41.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05530BA	QR3WeiluonikaMd010011TX	1
39	Nirvatia	A patrol that's really a date\nA night the alluring director planned down to the last detail	Assets/Product/Texture/Image/Role/RoleHeadR3Nietiya1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg039.png	Assets/Product/Texture/Image/BgCg/Cg6701_50.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05539BA	QR3NietiyaMd010011TX	1
40	Helentine	A train across the southern wilds\nTime spent recording it all,\nwith a cool, composed advisor	Assets/Product/Texture/Image/Role/RoleHeadR3Helentine1Q.png	Assets/Product/Texture/Image/UiEnvelopeGuessing/UiEnvelopeGuessingBg/UiEnvelopeGuessingBg040.png	Assets/Product/Texture/Image/BgCg/Cg6701_51.png	Assets/Product/Ui/ComponentPrefab/EnvelopeGuessing/EnvelopeGuessingOpenPackageEffects/Effect0.prefab	HD05540BA	QR3HelentineMd010011TX	1
