Id	Name	Icon	Type	BaseDesc	UpgradeDesc	StatusDict[1]	StatusDict[2]	StatusDict[3]	StatusDict[4]	StatusDict[5]	StatusDict[6]	StatusDict[7]	StatusDict[8]	StatusDict[9]	StatusDict[10]	StatusDict[11]	StatusDict[12]	StatusDict[13]	StatusDict[14]	StatusDict[15]	StatusDict[16]	StatusDict[17]	StatusDict[18]	StatusDict[19]	StatusDict[20]	StatusDict[21]	StatusDict[22]	StatusDict[23]	StatusDict[24]	StatusDict[25]	StatusDict[26]	StatusDict[27]	StatusDict[28]	StatusDict[29]	StatusDict[30]	StatusDict[31]	StatusDict[32]	StatusDict[33]	StatusDict[34]	StatusDict[35]	StatusDict[36]	StatusDict[37]	StatusDict[38]	StatusDict[39]	StatusDict[40]	StatusDict[41]	StatusDict[42]	StatusDict[43]	StatusDict[44]	StatusDict[45]	StatusDict[46]	StatusDict[47]	StatusDict[48]	StatusDict[49]	StatusDict[50]	StatusDict[51]	StatusDict[52]
30001	Pokey	Assets/Product/Texture/Image/Role/RoleChangQiangQ.png	1	Deals DMG on collision.\nKeeps moving to a position close to the player, then dashes toward the player and unleashes circular AOE DMG.	HP +36 per wave.\nCollision DMG +2 per wave.																																																		110	42	5
30002	Pokey: Bass Drop	Assets/Product/Texture/Image/UiPBR/PBRMonster10003.png	1	Higher HP.\nDeals DMG on collision.\nKeeps moving to a position close to the player, then dashes toward the player and unleashes circular AOE DMG.	HP +52 per wave.\nCollision DMG +2 per wave.																																																		110	45	5
30003	Pokey: High Freq	Assets/Product/Texture/Image/UiPBR/PBRMonster10002.png	1	Higher movement speed.\nDeals DMG on collision.\nKeeps moving to a position close to the player, then dashes toward the player and unleashes circular AOE DMG.	HP +30 per wave.\nCollision DMG +2 per wave.																																																		125	33	5
30004	Pokey: Midrange	Assets/Product/Texture/Image/UiPBR/PBRMonster10004.png	1	Higher Signal Orb drop rate.\nDeals DMG on collision.\nKeeps moving to a position close to the player, then dashes toward the player and unleashes circular AOE DMG.	HP +30 per wave.\nCollision DMG +2 per wave.																																																		110	33	5
30005	Pokey: Ultimate Remix	Assets/Product/Texture/Image/UiPBR/PBRMonster30005.png	1	Dances on entry!\nGains increased damage, armor, and movement speed.\nDeals DMG on collision.\nKeeps moving to a position close to the player, then dashes toward the player and unleashes circular AoE DMG.	HP +36 per wave.\nCollision DMG +2 per wave.																																																		220	42	5
40001	Swordy	Assets/Product/Texture/Image/Role/RoleHeadGuanjiaQ.png	2	Deals DMG on collision.\nKeeps moving toward the player.\nWhen near the player, dashes three times in a row toward the space behind the player, creating rectangular attacks.\nWhen farther away, dashes at the player, then follows with a fan-shaped attack.	HP +72 per wave.\nCollision DMG +2.8 per wave.																																																		120	84	7
50001	Smokey	Assets/Product/Texture/Image/Role/RoleHeadHuanQ.png	2	Deals DMG on collision.\nMoves away from the player. Once it reaches a certain distance, fires multiple straight-line shots in a fan-shaped area toward the player.\nWhen the player gets close, fires two rectangular barrages in a fan toward the player.	HP +72 per wave.\nCollision DMG +2.8 per wave.																																																		120	84	7
60001	Noz	Assets/Product/Texture/Image/Role/RoleHeadGuerQ.png	3	Deals DMG on collision.\nAt close range, dashes backward, then fires multiple straight-line shots in a fan toward the player.\nAt mid range, creates multiple projectile shots in a circular area centered on the player.\n- When HP falls to 50%, or after surviving 40s:\nIncreases movement speed, begins constantly moving to a position close to the player; for a long duration, spins while firing straight-line bullet barrages in all 360° directions for one full rotation, starting from the player's direction.	HP +600 per wave.\nCollision DMG +3 per wave.																																																		135	700	10
70001	Shark-speare	Assets/Product/Texture/Image/Role/RoleHeadShashibierQ.png	3	Deals DMG on collision.\nAt close range, spins to attack.\nAt mid range, periodically creates multiple delayed rectangular attacks in a circular area centered on the player.\n- When HP falls to 75%, or after surviving 30s:\n① Periodically fires delayed arcing projectiles in a full circle around itself.\n② Periodically dashes a short distance toward the player's position after a brief delay.\n- When HP falls to 30%, or after surviving 60s, it begins moving away from the player and increases movement speed.	HP +600 per wave.\nCollision DMG +3 per wave.																																																		135	700	10
80001	Sharky: Fixer	Assets/Product/Texture/Image/UiPBR/PBRMonster80001.png	2	Stays in place. Periodically summons Fixer: Ultimate Remix.	HP +40 per wave.\nCollision DMG +0.75 per wave.																																																		30	40	3
80002	Sharky: Pointy	Assets/Product/Texture/Image/UiPBR/PBRMonster80002.png	2	Stays in place. Periodically summons Pointy: Ultimate Remix.	HP +40 per wave.\nCollision DMG +0.75 per wave.																																																		30	40	3
80003	Sharky: Pokey	Assets/Product/Texture/Image/UiPBR/PBRMonster80003.png	2	Stays in place. Periodically summons Pokey: Ultimate Remix.	HP +40 per wave.\nCollision DMG +0.75 per wave.																																																		30	40	3
