Id	Name	BaseDesc	Icon	LevelDescList[1]	LevelDescList[2]	LevelDescList[3]	LevelDescList[4]
11	Blazing Burst	Summons a chess piece that performs thrusting melee attacks on the nearest enemy.	Assets/Product/Texture/Image/IconSkill/R4Dubianhong1.png	I. The chess piece lasts <color=#67ef8a>6</color>s. DMG: <color=#67ef8a>15.</color>	II. Passive: Red Orb drop rate <color=#67ef8a>+25%.</color> Piece ATK Area expands during Fever.	III. Expands chess piece thrust range, and increases DMG to <color=#67ef8a>18.</color>	IV. Greatly increases the chess piece's Attack Speed Bonus.
12	Countering Swordplay	Summons a chess piece that performs slashing melee attacks on the nearest enemy.	Assets/Product/Texture/Image/IconSkill/R3shenweihong1.png	I. The chess piece lasts <color=#67ef8a>6</color>s. DMG: <color=#67ef8a>12.</color>	II. Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	III. Expands chess piece slash range, and increases DMG to <color=#67ef8a>15.</color>	IV. Chess pieces switch to sweeping attacks.
13	Armored Assault	While active, the character gains increased Armor. Duration resets every time it is triggered.	Assets/Product/Texture/Image/IconSkill/R2shenweilan1.png	I. Lasts <color=#67ef8a>5</color>s. Armor <color=#67ef8a>+2.</color>	II. Passive: Blue Orb drop rate <color=#67ef8a>+25%.</color>	III. Increases duration to <color=#67ef8a>8</color>s, and increases Armor to <color=#67ef8a>4.</color>	IV. Passive: While in Combo State, Armor increases with combo count.
14	Swift Wave	While active, the character gains increased Attack Speed. Duration resets every time it is triggered.	Assets/Product/Texture/Image/IconSkill/R1luxiyalan1.png	I. Lasts <color=#67ef8a>5</color>s. Attack Speed Bonus <color=#67ef8a>+25%</color>.	II. Passive: Blue Orb drop rate <color=#67ef8a>+25%.</color>	III. Increases duration to <color=#67ef8a>8</color>s, and increases Attack Speed Bonus to <color=#67ef8a>40%.</color>	IV. Passive: While in Combo State, Attack Speed increases with combo count.
15	Thunderflash Stab	While active, the character gains increased Sprint Charge. Duration resets every time it is triggered.	Assets/Product/Texture/Image/IconSkill/R3Weilalan1.png	I. Lasts <color=#67ef8a>5</color>s. Sprint Charge <color=#67ef8a>+40%.</color>	II. Passive: Blue Orb drop rate <color=#67ef8a>+25%.</color>	III. Increases duration to <color=#67ef8a>8</color>s, and increases Sprint Charge to <color=#67ef8a>60%.</color>	IV. Passive: While in Combo State, Sprint Charge increases with combo count.
16	Life Appetency	While active, the character gains increased Lifesteal Efficiency. Duration resets every time it is triggered.	Assets/Product/Texture/Image/IconSkill/R2Kamulan1.png	I. Lasts <color=#67ef8a>5</color>s. Lifesteal Efficiency <color=#67ef8a>+2%.</color>	II. Passive: Blue Orb drop rate <color=#67ef8a>+25%.</color>	III. Increases duration to <color=#67ef8a>8</color>s, and increases Lifesteal Efficiency to <color=#67ef8a>3%.</color>	IV. Passive: While in Combo State, Lifesteal Efficiency increases with combo count.
17	Lightbreak Walk	While active, the character gains increased speed. Duration resets every time it is triggered.	Assets/Product/Texture/Image/IconSkill/R3luxiyalan1.png	I. Lasts <color=#67ef8a>5</color>s. Speed <color=#67ef8a>+25%</color>.	II. Passive: Blue Orb drop rate <color=#67ef8a>+25%.</color>	III. Increases duration to <color=#67ef8a>8</color>s, and increases Speed to <color=#67ef8a>37.5%.</color>	IV. Passive: While in Combo State, Speed increases with combo count.
18	Hardstop Resonance	For <color=#67ef8a>10</color>s, greatly increases CRIT Rate while the character is standing still. Duration resets every time it is triggered.	Assets/Product/Texture/Image/IconSkill/R2yongyechaolan1.png	I. CRIT Rate <color=#67ef8a>+30%</color>.	II. Passive: Blue Orb drop rate <color=#67ef8a>+25%.</color>	III. Increases CRIT Rate to <color=#67ef8a>50%.</color>	IV. While the character is standing still, CRIT DMG <color=#67ef8a>+75%</color>. The skill effect becomes a global passive.
19	Magnetic Shot	The next several basic attacks gain extra hits. Triggering this effect again adds more basic attack hits. Max <color=#67ef8a>99</color> stacks.	Assets/Product/Texture/Image/IconSkill/R2lilan1.png	I. Lasts for <color=#67ef8a>3</color> basic attacks. DMG of extra hits equals <color=#67ef8a>50%</color> of Basic Attack DMG.	II. Passive: Blue Orb drop rate <color=#67ef8a>+25%.</color>	III. The effect now lasts for <color=#67ef8a>7</color> basic attacks.	IV. Increases DMG of extra hits to <color=#67ef8a>125%</color> of Basic Attack DMG.
20	Healing Particle	Summons a chess piece that restores HP to nearby characters.	Assets/Product/Texture/Image/IconSkill/R1lifulan1.png	I. The chess piece lasts <color=#67ef8a>10</color>s and restores <color=#67ef8a>2</color> HP.	II. Passive: Blue Orb drop rate <color=#67ef8a>+25%.</color>	III. Increases HP recovery to <color=#67ef8a>3.</color>	IV. Greatly increases the recovery area. The chess piece also grants <color=#67ef8a>+25%</color> Speed to characters within range.
21	Gravity Beacon	After a brief delay, pulls enemies toward an area centered on the character's current position.	Assets/Product/Texture/Image/IconSkill/R4Kalieninahuang1.png	I. Pulls enemies in over a small area.	II. Passive: Yellow Orb drop rate <color=#67ef8a>+25%.</color>	III. Pulls enemies in over a large area.	IV. After casting, the character gains <color=#67ef8a>+5</color> Armor for <color=#67ef8a>5</color>s.
22	Sanctum	Briefly enters the Matrix, immobilizing all enemies.	Assets/Product/Texture/Image/IconSkill/R2lifuhuang1.png	I. Immobilizes for <color=#67ef8a>0.5</color>s.	II. Passive: Yellow Orb drop rate <color=#67ef8a>+25%.</color>	III. Increases immobilization duration to <color=#67ef8a>1</color>s.	IV. After casting, enemies suffer <color=#ff4b5a>-3</color> Armor for <color=#67ef8a>3</color>s.
23	High-Energy Invasion	Instantly restores Sprint Charge.	Assets/Product/Texture/Image/IconSkill/R3shenweihuang1.png	I. Restores <color=#67ef8a>1</color> Sprint Charge.	II. Passive: Yellow Orb drop rate <color=#67ef8a>+25%.</color>	III. Restores <color=#67ef8a>3</color> Sprint Charges.	IV. Passive: After sprinting, the character gains <color=#67ef8a>+8</color> Range for <color=#67ef8a>5</color>s. Duration resets every time it is triggered.
24	Guard Counter	While active, the character gains increased Knockback. Duration resets every time it is triggered.	Assets/Product/Texture/Image/IconSkill/R3Luosaitahuang1.png	I. Lasts <color=#67ef8a>5</color>s. Knockback <color=#67ef8a>+1.</color>	II. Passive: Yellow Orb drop rate <color=#67ef8a>+25%.</color>	III. Increases Knockback to <color=#67ef8a>2</color>, and increases duration to <color=#67ef8a>7</color>s.	IV. Increases Knockback to <color=#67ef8a>3</color>, and increases duration to <color=#67ef8a>9</color>s.
25	Corrupting Slash	Summons a chess piece that reduces the Armor of nearby enemies.	Assets/Product/Texture/Image/IconSkill/R2yongyechaohuang1.png	I. The chess piece lasts <color=#67ef8a>10</color>s and reduces Armor by <color=#67ef8a>2</color> in a small area.	II. Passive: Yellow Orb drop rate <color=#67ef8a>+25%.</color>	III. Increases Armor reduction to <color=#67ef8a>3.</color>	IV. Expands the effect to a medium area.
26	Glimpse Maneuver	For <color=#67ef8a>10</color>s, greatly increases Dodge while the character is standing still. Duration resets every time it is triggered.	Assets/Product/Texture/Image/IconSkill/R4Lianghuang1.png	I. Dodge <color=#67ef8a>+15%.</color>	II. Passive: Yellow Orb drop rate <color=#67ef8a>+25%.</color>	III. Dodge <color=#67ef8a>+25%.</color>	IV. While the character is standing still, Range <color=#67ef8a>+5</color>. The skill effect becomes a global passive.
27	Acalanatha	For <color=#67ef8a>10</color>s, greatly increases Armor while the character is standing still. Duration resets every time it is triggered.	Assets/Product/Texture/Image/IconSkill/R2shenweihuang1.png	I. Armor <color=#67ef8a>+4</color>.	II. Passive: Yellow Orb drop rate <color=#67ef8a>+25%.</color>	III. Armor <color=#67ef8a>+6</color>.	IV. While the character is standing still, Lifesteal Efficiency <color=#67ef8a>+3%</color>. The skill effect becomes a global passive.
28	Holywings Scatter	Summons a chess piece that continuously generates random Signal Orbs.	Assets/Product/Texture/Image/IconSkill/R4Lifuhuang1.png	I. The chess piece lasts <color=#67ef8a>5</color>s and generates <color=#67ef8a>1</color> random Signal Orb each time.	II. Passive: Yellow Orb drop rate <color=#67ef8a>+25%.</color>	III. Generates <color=#67ef8a>2</color> Signal Orbs each time.	IV. The chess piece continuously reduces enemy Movement Speed by <color=#ff4b5a>50</color> within a medium area.
29	Sonic Intrusion	Summons a Mine that monitors an area and deals damage to enemies that enter it.	Assets/Product/Texture/Image/IconSkill/R2Buouxionghong1.png	I. Mine lasts <color=#67ef8a>10</color>s. DMG <color=#67ef8a>=30.</color>	II. Passive: Red Orb drop rate <color=#67ef8a>+25%.</color> Area expands during Fever.	Ⅲ. Greatly increases the monitored area, and increases the number of summoned Mines to <color=#67ef8a>2.</color>	IV. Mines become cluster mines. The parent mine leaves behind child mines after exploding. Child Mine DMG <color=#67ef8a>=20.</color>
30	Dual-Feed Rotor	Summons Bear Claws that orbit the character, continuously dealing damage to and knocking back nearby enemies. Duration resets every time it is triggered.	Assets/Product/Texture/Image/IconSkill/R3Buouxionghong1.png	I. Lasts <color=#67ef8a>5</color>s. DMG <color=#67ef8a>=20.</color>	II. Passive: Red Orb drop rate <color=#67ef8a>+25%.</color> Area expands during Fever.	III. Each hit's DMG increased to <color=#67ef8a>30.</color> Effect area greatly increased.	IV. Increases duration to <color=#67ef8a>8</color>s.
31	Comet Propulsion	Fires a gravity shot at the nearest enemy, pulling in enemies it touches.	Assets/Product/Texture/Image/IconSkill/R4Kalieninahong1.png	I. DMG <color=#67ef8a>=30.</color>	II. Passive: Red Orb drop rate <color=#67ef8a>+25%.</color> Area expands during Fever.	Ⅲ. Increases the number of gravity shots to <color=#67ef8a>3.</color>	IV. Gravity shots also slow enemies hit by <color=#ff4b5a>30%</color>.
32	Mute Winter	Fires an Ice Tornado at the nearest enemy, freezing enemies on contact. Deals Shatter DMG when frozen enemies take damage.	Assets/Product/Texture/Image/IconSkill/R4luxiyahong1.png	I. Shatter DMG <color=#67ef8a>=30.</color>	II. Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	III. Increases the number of Ice Tornado to <color=#67ef8a>3.</color>	Ⅳ. Greatly increases the travel distance of the Ice Tornado.
33	Frozen Wind	Fires a Sword Wind at the nearest enemy.	Assets/Product/Texture/Image/IconSkill/R3Luosaitahong1.png	I. Sword Wind count <color=#67ef8a>=1.</color> DMG <color=#67ef8a>=30.</color>	II. Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	Ⅲ. Greatly increases Sword Wind width.	Ⅳ. Automatically fires a Sword Wind when Dodge is triggered.
34	Precise Shots	Summons a piece that fires a barrage at the nearest enemy, slowing enemies it hits.	Assets/Product/Texture/Image/IconSkill/R2lihong1.png	I. Chess pieces last <color=#67ef8a>5</color>s. DMG <color=#67ef8a>=10.</color> Slow effect <color=#ff4b5a>=-10%</color>.	II. Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	III. Slow effect increased to <color=#ff4b5a>-20%</color>.	Ⅳ. Greatly increases the number of projectiles.
35	Pursue Command	For <color=#67ef8a>10</color>s, greatly increases Attack Range while the character is standing still. Duration resets every time it is triggered.	Assets/Product/Texture/Image/IconSkill/R2Buouxionglan1.png	I. Range <color=#67ef8a>+5.</color>	Ⅱ. Passive: Blue Orb drop rate <color=#67ef8a>+25%.</color>	III. When the character is standing still, increases Dodge slightly. Dodge <color=#67ef8a>+10%.</color> Range <color=#67ef8a>+10.</color>	Ⅳ. While in Combo State, gains Range that scales with Combo count. The skill effect becomes a global passive.
36	Withering Gospel	Restores HP based on a percentage of the character's missing HP for the duration. Duration resets every time it is triggered	Assets/Product/Texture/Image/IconSkill/R4Lifulan1.png	I. Lasts <color=#67ef8a>5</color>s. Restoration ratio <color=#67ef8a>=6%.</color>	Ⅱ. Passive: Blue Orb drop rate <color=#67ef8a>+25%.</color>	III. Increases restoration ratio to <color=#67ef8a>10%.</color>	IV. Increases duration to <color=#67ef8a>8</color>s.
37	Steadfast Foundation	Summons a shield that continuously orbits the character for the duration. Duration resets every time it is triggered. The shield can block ranged attacks.	Assets/Product/Texture/Image/IconSkill/R3Twentyonehuang1.png	I. Lasts <color=#67ef8a>6</color>s.	II. Passive: Yellow Orb drop rate <color=#67ef8a>+25%.</color>	III. Greatly increases shield spin speed. While active, the character gains Lifesteal Efficiency <color=#67ef8a>+5%.</color>	Ⅳ. Increases the number of summoned shields to <color=#67ef8a>2.</color>
38	Frostbite Leap	Freezes enemies in a small area centered on the character's current position. Deals Shatter DMG when frozen enemies take damage.	Assets/Product/Texture/Image/IconSkill/R4Lifuhuang1.png	I. Shatter DMG <color=#67ef8a>=30.</color>	II. Passive: Yellow Orb drop rate <color=#67ef8a>+25%.</color>	III. Increases Shatter DMG to <color=#67ef8a>45.</color>	Ⅳ. Greatly increases freeze range.
