WaveId	WaveType	WaveReward	WaveFinishCondition	MaxMonsterCount	SpawnGroup[1]	SpawnGroup[2]	SpawnGroup[3]	SpawnGroup[4]	SpawnGroup[5]	SpawnGroup[6]	SpawnGroup[7]	SpawnGroup[8]	SpawnGroup[9]	SpawnGroup[10]	SpawnGroup[11]	SpawnGroup[12]	SpawnGroup[13]	SpawnGroup[14]	SpawnGroup[15]	SpawnGroup[16]	SpawnGroup[17]	SpawnGroup[18]	SpawnGroup[19]	SpawnGroup[20]	SpawnGroup[21]	SpawnGroup[22]	SpawnGroup[23]	SpawnGroup[24]	SpawnGroup[25]	SpawnGroup[26]	SpawnGroup[27]	SpawnTime[1]	SpawnTime[2]	SpawnTime[3]	SpawnTime[4]	SpawnTime[5]	SpawnTime[6]	SpawnTime[7]	SpawnTime[8]	SpawnTime[9]	SpawnTime[10]	SpawnTime[11]	SpawnTime[12]	SpawnTime[13]	SpawnTime[14]	SpawnTime[15]	SpawnTime[16]	SpawnTime[17]	SpawnTime[18]	SpawnTime[19]	SpawnTime[20]	SpawnTime[21]	SpawnTime[22]	SpawnTime[23]	SpawnTime[24]	SpawnTime[25]	SpawnTime[26]	SpawnTime[27]	IconType
811	3	25	60001|120	60	811001	811002	811003	811004	811005	811006	811007	811008	811009	811010	811011	811012	811013	811014	811015	811016	811017	811018	811019	811020								0	6	12	18	24	30	36	42	48	54	60	66	72	78	84	90	96	102	108	114								
812	3	25	70001|120	60	812001	812002	812003	812004	812005	812006	812007	812008	812009	812010	812011	812012	812013	812014	812015	812016	812017	812018	812019	812020								0	6	12	18	24	30	36	42	48	54	60	66	72	78	84	90	96	102	108	114								
1101	1	10	20	60	1101001	1101002	1101003	1101004																								0	6	12	18																								
1102	1	10	25	60	1102001	1102002	1102003	1102004	1102005																							0	6	12	18	24																							
1103	2	10	50	60	1103001	1103002	1103003	1103004	1103005	1103006	1103007	1103008	1103009	1103010	1103011	1103012																0	6	12	18	24	30	36	42	48	54	60	66																
1104	1	10	35	60	1104001	1104002	1104003	1104004	1104005	1104006																						0	6	12	18	24	30																						
1105	1	10	40	60	1105001	1105002	1105003	1105004	1105005	1105006	1105007																					0	6	12	18	24	30	36																					
1106	1	10	45	60	1106001	1106002	1106003	1106004	1106005	1106006	1106007	1106008																				0	6	12	18	24	30	36	42																				
1107	2	10	160	60	1107001	1107002	1107003	1107004	1107005	1107006	1107007	1107008	1107009	1107010	1107011	1107012	1107013	1107014	1107015	1107016	1107017											0	6	12	18	24	30	36	42	48	54	60	66	72	78	84	90	96											
1108	1	10	55	60	1108001	1108002	1108003	1108004	1108005	1108006	1108007	1108008	1108009	1108010																		0	6	12	18	24	30	36	42	48	54																		
1109	1	10	60	60	1109001	1109002	1109003	1109004	1109005	1109006	1109007	1109008	1109009	1109010																		0	6	12	18	24	30	36	42	48	54																		
1201	1	10	25	60	1201001	1201002	1201003	1201004	1201005																							0	6	12	18	24																							
1202	1	10	30	60	1202001	1202002	1202003	1202004	1202005																							0	6	12	18	24																							
1203	2	10	60	60	1203001	1203002	1203003	1203004	1203005	1203006	1203007	1203008	1203009	1203010	1203011	1203012	1203013	1203014														0	6	12	18	24	30	36	42	48	54	60	66	72	78														
1204	1	10	40	60	1204001	1204002	1204003	1204004	1204005	1204006	1204007																					0	6	12	18	24	30	36																					
1205	1	10	45	60	1205001	1205002	1205003	1205004	1205005	1205006	1205007	1205008																				0	6	12	18	24	30	36	42																				
1206	1	10	50	60	1206001	1206002	1206003	1206004	1206005	1206006	1206007	1206008	1206009																			0	6	12	18	24	30	36	42	48																			
1207	2	10	180	60	1207001	1207002	1207003	1207004	1207005	1207006	1207007	1207008	1207009	1207010	1207011	1207012	1207013	1207014	1207015	1207016	1207017	1207018	1207019	1207020								0	6	12	18	24	30	36	42	48	54	60	66	72	78	84	90	96	102	108	114								
1208	1	10	60	60	1208001	1208002	1208003	1208004	1208005	1208006	1208007	1208008	1208009	1208010																		0	6	12	18	24	30	36	42	48	54																		
1209	3	10	60001|65	60	1209001	1209002	1209003	1209004	1209005	1209006	1209007	1209008	1209009	1209010	1209011																	0	6	12	18	24	30	36	42	48	54	60																	2
1210	1	20	75	60	1210001	1210002	1210003	1210004	1210005	1210006	1210007	1210008	1210009	1210010	1210011	1210012	1210013															0	6	12	18	24	30	36	42	48	54	60	66	72															
1211	1	20	85	60	1211001	1211002	1211003	1211004	1211005	1211006	1211007	1211008	1211009	1211010	1211011	1211012	1211013	1211014	1211015													0	6	12	18	24	30	36	42	48	54	60	66	72	78	84													
1212	3	20	60001|95	60	1212001	1212002	1212003	1212004	1212005	1212006	1212007	1212008	1212009	1212010	1212011	1212012	1212013	1212014	1212015	1212016												0	6	12	18	24	30	36	42	48	54	60	66	72	78	84	90												2
1301	1	20	30	60	1301001	1301002	1301003	1301004	1301005																							0	6	12	18	24																							
1302	1	20	35	60	1302001	1302002	1302003	1302004	1302005	1302006																						0	6	12	18	24	30																						
1303	2	20	70	60	1303001	1303002	1303003	1303004	1303005	1303006	1303007	1303008	1303009	1303010	1303011	1303012	1303013	1303014	1303015													0	6	12	18	24	30	36	42	48	54	60	66	72	78	84													
1304	1	20	45	60	1304001	1304002	1304003	1304004	1304005	1304006	1304007	1304008																				0	6	12	18	24	30	36	42																				
1305	1	20	50	60	1305001	1305002	1305003	1305004	1305005	1305006	1305007	1305008	1305009																			0	6	12	18	24	30	36	42	48																			
1306	1	20	55	60	1306001	1306002	1306003	1306004	1306005	1306006	1306007	1306008	1306009	1306010																		0	6	12	18	24	30	36	42	48	54																		
1307	2	20	195	60	1307001	1307002	1307003	1307004	1307005	1307006	1307007	1307008	1307009	1307010	1307011	1307012	1307013	1307014	1307015	1307016	1307017	1307018	1307019	1307020	1307021	1307022						0	6	12	18	24	30	36	42	48	54	60	66	72	78	84	90	96	102	108	114	120	126						
1308	1	20	65	60	1308001	1308002	1308003	1308004	1308005	1308006	1308007	1308008	1308009	1308010	1308011																	0	6	12	18	24	30	36	42	48	54	60																	
1309	1	20	70	60	1309001	1309002	1309003	1309004	1309005	1309006	1309007	1309008	1309009	1309010	1309011	1309012																0	6	12	18	24	30	36	42	48	54	60	66																
1401	1	20	35	60	1401001	1401002	1401003	1401004	1401005	1401006																						0	6	12	18	24	30																						
1402	1	20	40	60	1402001	1402002	1402003	1402004	1402005	1402006	1402007																					0	6	12	18	24	30	36																					
1403	2	20	80	60	1403001	1403002	1403003	1403004	1403005	1403006	1403007	1403008	1403009	1403010	1403011	1403012	1403013	1403014	1403015	1403016	1403017											0	6	12	18	24	30	36	42	48	54	60	66	72	78	84	90	96											
1404	1	20	50	60	1404001	1404002	1404003	1404004	1404005	1404006	1404007	1404008	1404009																			0	6	12	18	24	30	36	42	48																			
1405	1	20	55	60	1405001	1405002	1405003	1405004	1405005	1405006	1405007	1405008	1405009	1405010																		0	6	12	18	24	30	36	42	48	54																		
1406	1	20	60	60	1406001	1406002	1406003	1406004	1406005	1406006	1406007	1406008	1406009	1406010																		0	6	12	18	24	30	36	42	48	54																		
1407	2	20	210	60	1407001	1407002	1407003	1407004	1407005	1407006	1407007	1407008	1407009	1407010	1407011	1407012	1407013	1407014	1407015	1407016	1407017	1407018	1407019	1407020	1407021	1407022						0	6	12	18	24	30	36	42	48	54	60	66	72	78	84	90	96	102	108	114	120	126						
1408	1	20	70	60	1408001	1408002	1408003	1408004	1408005	1408006	1408007	1408008	1408009	1408010	1408011	1408012																0	6	12	18	24	30	36	42	48	54	60	66																
1409	3	20	70001|75	60	1409001	1409002	1409003	1409004	1409005	1409006	1409007	1409008	1409009	1409010	1409011	1409012	1409013															0	6	12	18	24	30	36	42	48	54	60	66	72															2
1410	1	40	85	60	1410001	1410002	1410003	1410004	1410005	1410006	1410007	1410008	1410009	1410010	1410011	1410012	1410013	1410014	1410015													0	6	12	18	24	30	36	42	48	54	60	66	72	78	84													
1411	1	40	95	60	1411001	1411002	1411003	1411004	1411005	1411006	1411007	1411008	1411009	1411010	1411011	1411012	1411013	1411014	1411015	1411016												0	6	12	18	24	30	36	42	48	54	60	66	72	78	84	90												
1412	3	40	70001|105	60	1412001	1412002	1412003	1412004	1412005	1412006	1412007	1412008	1412009	1412010	1412011	1412012	1412013	1412014	1412015	1412016	1412017	1412018										0	6	12	18	24	30	36	42	48	54	60	66	72	78	84	90	96	102										2
1501	1	20	40	60	1501001	1501002	1501003	1501004	1501005	1501006	1501007																					0	6	12	18	24	30	36																					
1502	1	20	45	60	1502001	1502002	1502003	1502004	1502005	1502006	1502007	1502008																				0	6	12	18	24	30	36	42																				
1503	2	20	90	60	1503001	1503002	1503003	1503004	1503005	1503006	1503007	1503008	1503009	1503010	1503011	1503012	1503013	1503014	1503015	1503016	1503017	1503018	1503019									0	6	12	18	24	30	36	42	48	54	60	66	72	78	84	90	96	102	108									
1504	1	20	55	60	1504001	1504002	1504003	1504004	1504005	1504006	1504007	1504008	1504009	1504010																		0	6	12	18	24	30	36	42	48	54																		
1505	1	20	60	60	1505001	1505002	1505003	1505004	1505005	1505006	1505007	1505008	1505009	1505010																		0	6	12	18	24	30	36	42	48	54																		
1506	1	20	65	60	1506001	1506002	1506003	1506004	1506005	1506006	1506007	1506008	1506009	1506010	1506011																	0	6	12	18	24	30	36	42	48	54	60																	
1507	2	20	225	60	1507001	1507002	1507003	1507004	1507005	1507006	1507007	1507008	1507009	1507010	1507011	1507012	1507013	1507014	1507015	1507016	1507017	1507018	1507019	1507020	1507021	1507022	1507023	1507024	1507025			0	6	12	18	24	30	36	42	48	54	60	66	72	78	84	90	96	102	108	114	120	126	132	138	144			
1508	1	20	75	60	1508001	1508002	1508003	1508004	1508005	1508006	1508007	1508008	1508009	1508010	1508011	1508012	1508013															0	6	12	18	24	30	36	42	48	54	60	66	72															
1509	1	20	80	60	1509001	1509002	1509003	1509004	1509005	1509006	1509007	1509008	1509009	1509010	1509011	1509012	1509013	1509014														0	6	12	18	24	30	36	42	48	54	60	66	72	78														
1601	1	20	45	60	1601001	1601002	1601003	1601004	1601005	1601006	1601007	1601008																				0	6	12	18	24	30	36	42																				
1602	1	20	50	60	1602001	1602002	1602003	1602004	1602005	1602006	1602007	1602008	1602009																			0	6	12	18	24	30	36	42	48																			
1603	2	20	95	60	1603001	1603002	1603003	1603004	1603005	1603006	1603007	1603008	1603009	1603010	1603011	1603012	1603013	1603014	1603015	1603016	1603017	1603018	1603019	1603020								0	6	12	18	24	30	36	42	48	54	60	66	72	78	84	90	96	102	108	114								
1604	3	20	60001|60	60	1604001	1604002	1604003	1604004	1604005	1604006	1604007	1604008	1604009	1604010																		0	6	12	18	24	30	36	42	48	54																		2
1605	1	20	65	60	1605001	1605002	1605003	1605004	1605005	1605006	1605007	1605008	1605009	1605010	1605011																	0	6	12	18	24	30	36	42	48	54	60																	
1606	1	20	70	60	1606001	1606002	1606003	1606004	1606005	1606006	1606007	1606008	1606009	1606010	1606011	1606012																0	6	12	18	24	30	36	42	48	54	60	66																
1607	2	20	240	60	1607001	1607002	1607003	1607004	1607005	1607006	1607007	1607008	1607009	1607010	1607011	1607012	1607013	1607014	1607015	1607016	1607017	1607018	1607019	1607020	1607021	1607022	1607023	1607024	1607025	1607026	1607027	0	6	12	18	24	30	36	42	48	54	60	66	72	78	84	90	96	102	108	114	120	126	132	138	144	150	156	
1608	1	20	80	60	1608001	1608002	1608003	1608004	1608005	1608006	1608007	1608008	1608009	1608010	1608011	1608012	1608013	1608014														0	6	12	18	24	30	36	42	48	54	60	66	72	78														
1609	3	20	60001|85	60	1609001	1609002	1609003	1609004	1609005	1609006	1609007	1609008	1609009	1609010	1609011	1609012	1609013	1609014	1609015													0	6	12	18	24	30	36	42	48	54	60	66	72	78	84													2
1610	1	40	95	60	1610001	1610002	1610003	1610004	1610005	1610006	1610007	1610008	1610009	1610010	1610011	1610012	1610013	1610014	1610015	1610016												0	6	12	18	24	30	36	42	48	54	60	66	72	78	84	90												
1611	1	40	105	60	1611001	1611002	1611003	1611004	1611005	1611006	1611007	1611008	1611009	1611010	1611011	1611012	1611013	1611014	1611015	1611016	1611017	1611018										0	6	12	18	24	30	36	42	48	54	60	66	72	78	84	90	96	102										
1612	3	40	70001|115	60	1612001	1612002	1612003	1612004	1612005	1612006	1612007	1612008	1612009	1612010	1612011	1612012	1612013	1612014	1612015	1612016	1612017	1612018	1612019	1612020								0	6	12	18	24	30	36	42	48	54	60	66	72	78	84	90	96	102	108	114								2
