ItemId	ItemType	OrbColor	OrbGroup	ItemTier	ItemName	ItemDesc	Icon	SkillId	SaveSkillNote	ItemMagic	Tags[1]	Tags[2]	Tags[3]	UnlockProgressionNodeId
11	1	1	3	3	Swipe III	Performs a fan-shaped slashing melee attack on the nearest enemy in an area centered on the character. DMG <color=#67ef8a>=35+</color> Max HP <color=#67ef8a>x 15%</color>. Area expands during Fever.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%</color>. Upon casting, Max HP <color=#67ef8a>+1</color>.	Assets/Product/Texture/Image/IconSkill/R2shenweihong1.png	502905	503003	505813	Signal Orb	Close Range	Stats Growth	
12	1	1	3	4	Swipe IV	Performs a fan-shaped slashing melee attack on the nearest enemy in a large area centered on the character. DMG <color=#67ef8a>=35+</color> Max HP <color=#67ef8a>x 15%</color>. Area expands during Fever.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%</color>. Upon casting, Max HP <color=#67ef8a>+1</color>.	Assets/Product/Texture/Image/IconSkill/R2shenweihong1.png	502905	503003	505814	Signal Orb	Close Range	Stats Growth	
13	1	1	4	1	Vibrant Stroke I	Continuously deals DMG to nearby enemies in an area centered on the character. Lasts <color=#67ef8a>2</color>s. DMG per second: <color=#67ef8a>24.</color>	Assets/Product/Texture/Image/IconSkill/R2ailahong1.png	502906	503003	505811	Signal Orb	Close Range	Speed Up	
14	1	1	4	2	Vibrant Stroke II	Continuously deals DMG to nearby enemies in an area centered on the character. Lasts <color=#67ef8a>2</color>s. DMG per second <color=#67ef8a>=24.</color> Area expands during Fever.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	Assets/Product/Texture/Image/IconSkill/R2ailahong1.png	502906	503003	505812	Signal Orb	Close Range	Speed Up	
15	1	1	4	3	Vibrant Stroke III	Continuously deals DMG to nearby enemies in an area centered on the character. Lasts <color=#67ef8a>2</color>s. DMG per second <color=#67ef8a>=32.</color> Each time an enemy is hit, Movement Speed <color=#67ef8a>+20</color> for <color=#67ef8a>5</color>s. Duration resets every time it is triggered. Area expands during Fever.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	Assets/Product/Texture/Image/IconSkill/R2ailahong1.png	502906	503003	505813	Signal Orb	Close Range	Speed Up	
16	1	1	4	4	Vibrant Stroke IV	Continuously deals DMG to nearby enemies in a large area centered on the character. Lasts <color=#67ef8a>4</color>s. DMG per second: <color=#67ef8a>32</color>. Each time an enemy is hit, Movement Speed <color=#67ef8a>+20</color> for <color=#67ef8a>5</color>s. Duration resets every time it is triggered. Area expands during Fever.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R2ailahong1.png	502906	503003	505814	Signal Orb	Close Range	Speed Up	
17	1	1	5	1	Dazzle I	The next <color=#67ef8a>5</color> basic attacks have <color=#67ef8a>+15%</color> Signal Orb drop rate. Triggering this effect again adds more basic attack hits. Max <color=#67ef8a>99</color> stacks	Assets/Product/Texture/Image/IconSkill/R2luxiyahong1.png	502907	503003	505811	Signal Orb	Basic Attack Buff	Extra EXP	
18	1	1	5	2	Dazzle II	The next <color=#67ef8a>5</color> basic attacks have <color=#67ef8a>+15%</color> Signal Orb drop rate. Triggering this effect again adds more basic attack hits. Max <color=#67ef8a>99</color> stacks.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R2luxiyahong1.png	502907	503003	505812	Signal Orb	Basic Attack Buff	Extra EXP	
19	1	1	5	3	Dazzle III	The next <color=#67ef8a>7</color> basic attacks have <color=#67ef8a>+30%</color> Signal Orb drop rate. Triggering this effect again adds more basic attack hits. Max <color=#67ef8a>99</color> stacks.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%</color>. Basic Attack DMG Bonus <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R2luxiyahong1.png	502907	503003	505813	Signal Orb	Basic Attack Buff	Extra EXP	
20	1	1	5	4	Dazzle IV	The next <color=#67ef8a>7</color> basic attacks have <color=#67ef8a>+30%</color> Signal Orb drop rate. Triggering this effect again adds more basic attack hits. Max <color=#67ef8a>99</color> stacks.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%</color>. Basic Attack DMG Bonus <color=#67ef8a>+25%</color>. When picking up Signal Orbs, gains <color=#67ef8a>1</color> bonus EXP.	Assets/Product/Texture/Image/IconSkill/R2luxiyahong1.png	502907	503003	505814	Signal Orb	Basic Attack Buff	Extra EXP	
21	1	1	6	1	Thundering Rush I	Performs a thrusting melee attack on the nearest enemy. DMG: <color=#67ef8a>35.</color> When hitting more than <color=#67ef8a>3</color> enemies, Basic Attack DMG Bonus <color=#67ef8a>+10%.</color>	Assets/Product/Texture/Image/IconSkill/R5Luxiyahong1.png	502908	503003	505811	Signal Orb	Close Range	Basic Attack Buff	21
22	1	1	6	2	Thundering Rush II	Performs a thrusting melee attack on the nearest enemy. DMG <color=#67ef8a>=35.</color> When hitting more than <color=#67ef8a>3</color> enemies, Basic Attack DMG Bonus <color=#67ef8a>+10%.</color> Area expands during Fever.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	Assets/Product/Texture/Image/IconSkill/R5Luxiyahong1.png	502908	503003	505812	Signal Orb	Close Range	Basic Attack Buff	21
23	1	1	6	3	Thundering Rush III	Performs a thrusting melee attack on the nearest enemy. DMG <color=#67ef8a>=50.</color> When hitting more than <color=#67ef8a>3</color> enemies, Basic Attack DMG Bonus <color=#67ef8a>+10%.</color> Area expands during Fever.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	Assets/Product/Texture/Image/IconSkill/R5Luxiyahong1.png	502908	503003	505813	Signal Orb	Close Range	Basic Attack Buff	21
24	1	1	6	4	Thundering Rush IV	Performs a thrusting melee attack on the nearest enemy. DMG <color=#67ef8a>=50.</color> When hitting more than <color=#67ef8a>3</color> enemies, Basic Attack DMG Bonus <color=#67ef8a>+10%</color>, and greatly increases Attack Speed Bonus for <color=#67ef8a>5</color>s (Attack Speed Bonus <color=#67ef8a>+50%</color>). Area expands during Fever.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	Assets/Product/Texture/Image/IconSkill/R5Luxiyahong1.png	502908	503003	505814	Signal Orb	Close Range	Basic Attack Buff	21
25	1	1	7	1	Reactive Fire I	Fires <color=#67ef8a>3</color> straight-line shots at the nearest enemy. DMG per hit: <color=#67ef8a>30.</color>	Assets/Product/Texture/Image/IconSkill/R3lihong1.png	502909	503003	505811	Signal Orb	Long Range	High DMG	
26	1	1	7	2	Reactive Fire II	Fires <color=#67ef8a>3</color> straight-line shots at the nearest enemy. DMG per hit: <color=#67ef8a>30</color>.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R3lihong1.png	502909	503003	505812	Signal Orb	Long Range	High DMG	
27	1	1	7	3	Reactive Fire III	Fires <color=#67ef8a>3</color> straight-line shots at the nearest enemy. DMG per hit: <color=#67ef8a>40</color>. CRIT Rate <color=#67ef8a>+25%</color> for <color=#67ef8a>2</color>s.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R3lihong1.png	502909	503003	505813	Signal Orb	Long Range	High DMG	
28	1	1	7	4	Reactive Fire IV	Fires <color=#67ef8a>6</color> straight-line shots at the nearest enemy. DMG per hit: <color=#67ef8a>40 +</color> Luck <color=#67ef8a>x 50%</color>. CRIT Rate <color=#67ef8a>+25%</color> for <color=#67ef8a>2</color>s.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R3lihong1.png	502909	503003	505814	Signal Orb	Long Range	High DMG	
29	1	1	8	1	Ricochet Rounds I	Fires tracking bullets at the nearest enemy. The bullets ricochet between enemies, up to <color=#67ef8a>3</color> times. DMG: <color=#67ef8a>25 +</color> Range <color=#67ef8a>x 200%</color>.	Assets/Product/Texture/Image/IconSkill/R2lifuhong1.png	502910	503003	505811	Signal Orb	Long Range	Jump Attack	
30	1	1	8	2	Ricochet Rounds II	Fires tracking bullets at the nearest enemy. The bullets ricochet between enemies, up to <color=#67ef8a>3</color> times. DMG: <color=#67ef8a>25 +</color> Range <color=#67ef8a>x 200%</color>.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R2lifuhong1.png	502910	503003	505812	Signal Orb	Long Range	Jump Attack	
31	1	1	8	3	Ricochet Rounds III	Fires tracking bullets at the nearest enemy. The bullets ricochet between enemies, up to <color=#67ef8a>5</color> times. DMG: <color=#67ef8a>35 +</color> Range <color=#67ef8a>x 300%</color>.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R2lifuhong1.png	502910	503003	505813	Signal Orb	Long Range	Jump Attack	
32	1	1	8	4	Ricochet Rounds IV	Fires tracking bullets at the nearest enemy. The bullets ricochet between enemies with no ricochet limit. DMG: <color=#67ef8a>35 +</color> Range <color=#67ef8a>x 300%</color>.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R2lifuhong1.png	502910	503003	505814	Signal Orb	Long Range	Jump Attack	
33	1	1	9	1	Explosive Throw I	Fires explosive rounds at the nearest enemy. The blast leaves behind a burning area that deals continuous DMG. Lasts <color=#67ef8a>3</color>s. DMG per second: <color=#67ef8a>20.</color>	Assets/Product/Texture/Image/IconSkill/R2Sufeiyahong1.png	502911	503003	505811	Signal Orb	Long Range	DMG Over Time	
34	1	1	9	2	Explosive Throw II	Fires explosive rounds at the nearest enemy. The blast leaves behind a burning area that deals continuous DMG. Lasts <color=#67ef8a>3</color>s. DMG per second: <color=#67ef8a>20</color>.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R2Sufeiyahong1.png	502911	503003	505812	Signal Orb	Long Range	DMG Over Time	
35	1	1	9	3	Explosive Throw III	Fires explosive rounds at the nearest enemy. The blast leaves behind a burning area that deals continuous DMG. Lasts <color=#67ef8a>6</color>s. DMG per second: <color=#67ef8a>24</color>.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R2Sufeiyahong1.png	502911	503003	505813	Signal Orb	Long Range	DMG Over Time	
36	1	1	9	4	Explosive Throw IV	Fires explosive rounds at the nearest enemy. The blast leaves behind a large burning area that deals continuous DMG. Lasts <color=#67ef8a>8</color>s. DMG per second: <color=#67ef8a>24</color>. DMG per second increases to <color=#67ef8a>32</color> over the duration.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R2Sufeiyahong1.png	502911	503003	505814	Signal Orb	Long Range	DMG Over Time	
37	1	1	10	1	Active Guard I	Summons a chess piece that fires tracking bullets at the nearest enemy. The piece lasts <color=#67ef8a>8</color>s. DMG: <color=#67ef8a>10.</color>	Assets/Product/Texture/Image/IconSkill/R5Lifuhong1.png	502912	503003	505811	Signal Orb	Summon	Long Range	
38	1	1	10	2	Active Guard II	Summons a chess piece that fires tracking bullets at the nearest enemy. The piece lasts <color=#67ef8a>8</color>s. DMG: <color=#67ef8a>10</color>.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R5Lifuhong1.png	502912	503003	505812	Signal Orb	Summon	Long Range	
39	1	1	10	3	Active Guard III	Summons a chess piece that fires tracking bullets at the nearest enemy. The piece lasts <color=#67ef8a>8</color>s. DMG: <color=#67ef8a>13</color>. Bullets explode in a small area on hit, dealing the same DMG.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R5Lifuhong1.png	502912	503003	505813	Signal Orb	Summon	Long Range	
40	1	1	10	4	Active Guard IV	Summons a chess piece that fires tracking bullets at the nearest enemy. The piece lasts <color=#67ef8a>8</color>s. DMG: <color=#67ef8a>13</color>. Bullets explode in a large area on hit, dealing the same DMG.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R5Lifuhong1.png	502912	503003	505814	Signal Orb	Summon	Long Range	
41	1	1	11	1	Blazing Burst I	Summons a chess piece that performs thrusting melee attacks on the nearest enemy. The piece lasts <color=#67ef8a>6</color>s. DMG: <color=#67ef8a>15.</color>	Assets/Product/Texture/Image/IconSkill/R4Dubianhong1.png	502913	503003	505811	Signal Orb	Summon	Close Range	
42	1	1	11	2	Blazing Burst II	Summons a chess piece that performs thrusting melee attacks on the nearest enemy. The piece lasts <color=#67ef8a>6</color>s. DMG <color=#67ef8a>=15.</color> Piece ATK Area expands during Fever.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	Assets/Product/Texture/Image/IconSkill/R4Dubianhong1.png	502913	503003	505812	Signal Orb	Summon	Close Range	
43	1	1	11	3	Blazing Burst III	Summons a chess piece that performs long-range thrusting melee attacks on the nearest enemy. The piece lasts <color=#67ef8a>6</color>s. DMG <color=#67ef8a>=18.</color> Piece ATK Area expands during Fever.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	Assets/Product/Texture/Image/IconSkill/R4Dubianhong1.png	502913	503003	505813	Signal Orb	Summon	Close Range	
44	1	1	11	4	Blazing Burst IV	Summons a chess piece that performs long-range thrusting melee attacks on the nearest enemy. The piece lasts <color=#67ef8a>6</color>s. DMG <color=#67ef8a>=18.</color> Greatly increases the piece's Attack Speed Bonus. Piece ATK Area expands during Fever.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	Assets/Product/Texture/Image/IconSkill/R4Dubianhong1.png	502913	503003	505814	Signal Orb	Summon	Close Range	
45	1	1	12	1	Countering Swordplay I	Summons a chess piece that performs slashing melee attacks on the nearest enemy. The piece lasts <color=#67ef8a>6</color>s. DMG: <color=#67ef8a>12.</color>	Assets/Product/Texture/Image/IconSkill/R3shenweihong1.png	502914	503003	505811	Signal Orb	Summon	Close Range	13
46	1	1	12	2	Countering Swordplay II	Summons a chess piece that performs slashing melee attacks on the nearest enemy. The piece lasts <color=#67ef8a>6</color>s. DMG <color=#67ef8a>=12.</color> Piece ATK Area expands during Fever.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	Assets/Product/Texture/Image/IconSkill/R3shenweihong1.png	502914	503003	505812	Signal Orb	Summon	Close Range	13
47	1	1	12	3	Countering Swordplay III	Summons a chess piece that performs long-range slashing melee attacks on the nearest enemy. The piece lasts <color=#67ef8a>6</color>s. DMG <color=#67ef8a>=15.</color> Piece ATK Area expands during Fever.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	Assets/Product/Texture/Image/IconSkill/R3shenweihong1.png	502914	503003	505813	Signal Orb	Summon	Close Range	13
48	1	1	12	4	Countering Swordplay IV	Summons a chess piece that performs long-range sweeping melee attacks on the nearest enemy. The piece lasts <color=#67ef8a>6</color>s. DMG <color=#67ef8a>=15.</color> Piece ATK Area expands during Fever.\n- Passive: Red Orb drop rate <color=#67ef8a>+25%.</color>	Assets/Product/Texture/Image/IconSkill/R3shenweihong1.png	502914	503003	505814	Signal Orb	Summon	Close Range	13
49	1	2	13	1	Armored Assault I	While active, the character gains increased Armor. Duration resets every time it is triggered. Lasts <color=#67ef8a>5</color>s, Armor <color=#67ef8a>+2.</color>	Assets/Product/Texture/Image/IconSkill/R2shenweilan1.png	502915	503004	505821	Signal Orb	Armor Up		6
50	1	2	13	2	Armored Assault II	While active, the character gains increased Armor. Duration resets every time it is triggered. Lasts <color=#67ef8a>5</color>s, Armor <color=#67ef8a>+2</color>.\n- Passive: Blue Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R2shenweilan1.png	502915	503004	505822	Signal Orb	Armor Up		6
51	1	2	13	3	Armored Assault III	While active, the character gains increased Armor. Duration resets every time it is triggered. Lasts <color=#67ef8a>8</color>s, Armor <color=#67ef8a>+4</color>.\n- Passive: Blue Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R2shenweilan1.png	502915	503004	505823	Signal Orb	Armor Up		6
52	1	2	13	4	Armored Assault IV	While active, the character gains increased Armor. Duration resets every time it is triggered. Lasts <color=#67ef8a>8</color>s, Armor <color=#67ef8a>+4</color>.\n- Passive: Blue Orb drop rate <color=#67ef8a>+25%</color>. While in Combo State, Armor increases with combo count.	Assets/Product/Texture/Image/IconSkill/R2shenweilan1.png	502915	503004	505824	Signal Orb	Armor Up		6
53	1	2	14	1	Swift Wave I	While active, the character gains an increased Attack Speed Bonus. Duration resets every time it is triggered. Lasts <color=#67ef8a>5</color>s, Attack Speed Bonus <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R1luxiyalan1.png	502916	503004	505821	Signal Orb	Attack Speed Up		
54	1	2	14	2	Swift Wave II	While active, the character gains an increased Attack Speed Bonus. Duration resets every time it is triggered. Lasts <color=#67ef8a>5</color>s, Attack Speed Bonus <color=#67ef8a>+25%</color>.\n- Passive: Blue Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R1luxiyalan1.png	502916	503004	505822	Signal Orb	Attack Speed Up		
55	1	2	14	3	Swift Wave III	While active, the character gains an increased Attack Speed Bonus. Duration resets every time it is triggered. Lasts <color=#67ef8a>8</color>s. Attack Speed Bonus increased to <color=#67ef8a>40%</color>.\n- Passive: Blue Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R1luxiyalan1.png	502916	503004	505823	Signal Orb	Attack Speed Up		
56	1	2	14	4	Swift Wave IV	While active, the character gains an increased Attack Speed Bonus. Duration resets every time it is triggered. Lasts <color=#67ef8a>8</color>s. Attack Speed Bonus increased to <color=#67ef8a>40%</color>.\n- Passive: Blue Orb drop rate <color=#67ef8a>+25%</color>. While in Combo State, Attack Speed Bonus increases with combo count.	Assets/Product/Texture/Image/IconSkill/R1luxiyalan1.png	502916	503004	505824	Signal Orb	Attack Speed Up		
57	1	2	15	1	Thunderflash Stab I	While active, the character gains increased Sprint Charge. Duration resets every time it is triggered. Lasts <color=#67ef8a>5</color>s, Sprint Charge <color=#67ef8a>+40%.</color>	Assets/Product/Texture/Image/IconSkill/R3Weilalan1.png	502917	503004	505821	Signal Orb	Sprinting Ability		
58	1	2	15	2	Thunderflash Stab II	While active, the character gains increased Sprint Charge. Duration resets every time it is triggered. Lasts <color=#67ef8a>5</color>s, Sprint Charge <color=#67ef8a>+40%</color>.\n- Passive: Blue Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R3Weilalan1.png	502917	503004	505822	Signal Orb	Sprinting Ability		
59	1	2	15	3	Thunderflash Stab III	While active, the character gains increased Sprint Charge. Duration resets every time it is triggered. Lasts <color=#67ef8a>8</color>s, Sprint Charge <color=#67ef8a>+60%</color>.\n- Passive: Blue Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R3Weilalan1.png	502917	503004	505823	Signal Orb	Sprinting Ability		
60	1	2	15	4	Thunderflash Stab IV	While active, the character gains increased Sprint Charge. Duration resets every time it is triggered. Lasts <color=#67ef8a>8</color>s, Sprint Charge <color=#67ef8a>+60%</color>.\n- Passive: Blue Orb drop rate <color=#67ef8a>+25%</color>. While in Combo State, Sprint Charge increases with combo count.	Assets/Product/Texture/Image/IconSkill/R3Weilalan1.png	502917	503004	505824	Signal Orb	Sprinting Ability		
61	1	2	16	1	Life Appetency I	While active, the character gains increased Lifesteal Efficiency. Duration resets every time it is triggered. Lasts <color=#67ef8a>5</color>s. Lifesteal Efficiency <color=#67ef8a>+2%.</color>	Assets/Product/Texture/Image/IconSkill/R2Kamulan1.png	502918	503004	505821	Signal Orb	Lifesteal		
62	1	2	16	2	Life Appetency II	While active, the character gains increased Lifesteal Efficiency. Duration resets every time it is triggered. Lasts <color=#67ef8a>5</color>s. Lifesteal Efficiency <color=#67ef8a>+2%</color>.\n- Passive: Blue Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R2Kamulan1.png	502918	503004	505822	Signal Orb	Lifesteal		
63	1	2	16	3	Life Appetency III	While active, the character gains increased Lifesteal Efficiency. Duration resets every time it is triggered. Lasts <color=#67ef8a>8</color>s. Lifesteal Efficiency increased to <color=#67ef8a>3%</color>.\n- Passive: Blue Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R2Kamulan1.png	502918	503004	505823	Signal Orb	Lifesteal		
64	1	2	16	4	Life Appetency IV	While active, the character gains increased Lifesteal Efficiency. Duration resets every time it is triggered. Lasts <color=#67ef8a>8</color>s. Lifesteal Efficiency increased to <color=#67ef8a>3%</color>.\n- Passive: Blue Orb drop rate <color=#67ef8a>+25%</color>. While in Combo State, Lifesteal Efficiency increases with combo count.	Assets/Product/Texture/Image/IconSkill/R2Kamulan1.png	502918	503004	505824	Signal Orb	Lifesteal		
65	1	2	17	1	Lightbreak Walk I	While active, the character gains increased speed. Duration resets every time it is triggered. Lasts <color=#67ef8a>5</color>s, Speed <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R3luxiyalan1.png	502919	503004	505821	Signal Orb	Speed Up		
66	1	2	17	2	Lightbreak Walk II	While active, the character gains increased speed. Duration resets every time it is triggered. Lasts <color=#67ef8a>5</color>s, Speed <color=#67ef8a>+25</color>.\n- Passive: Blue Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R3luxiyalan1.png	502919	503004	505822	Signal Orb	Speed Up		
67	1	2	17	3	Lightbreak Walk III	While active, the character gains increased speed. Duration resets every time it is triggered. Lasts <color=#67ef8a>8</color>s, Speed <color=#67ef8a>+37.5%</color>.\n- Passive: Blue Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R3luxiyalan1.png	502919	503004	505823	Signal Orb	Speed Up		
68	1	2	17	4	Lightbreak Walk IV	While active, the character gains increased speed. Duration resets every time it is triggered. Lasts <color=#67ef8a>8</color>s, Speed <color=#67ef8a>+37.5%</color>.\n- Passive: Blue Orb drop rate <color=#67ef8a>+25%</color>. While in Combo State, speed increases with combo count.	Assets/Product/Texture/Image/IconSkill/R3luxiyalan1.png	502919	503004	505824	Signal Orb	Speed Up		
69	1	2	18	1	Hardstop Resonance I	For <color=#67ef8a>10</color>s, greatly increases CRIT Rate while the character is standing still. Duration resets every time it is triggered. CRIT Rate <color=#67ef8a>+30%</color>.	Assets/Product/Texture/Image/IconSkill/R2yongyechaolan1.png	502920	503004	505821	Signal Orb	Tanking Ability	CRIT Up	
70	1	2	18	2	Hardstop Resonance II	For <color=#67ef8a>10</color>s, greatly increases CRIT Rate while the character is standing still. Duration resets every time it is triggered. CRIT Rate <color=#67ef8a>+30%</color>.\n- Passive: Blue Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R2yongyechaolan1.png	502920	503004	505822	Signal Orb	Tanking Ability	CRIT Up	
71	1	2	18	3	Hardstop Resonance III	For <color=#67ef8a>10</color>s, greatly increases CRIT Rate while the character is standing still. Duration resets every time it is triggered. CRIT Rate <color=#67ef8a>+50%</color>.\n- Passive: Blue Orb drop rate <color=#67ef8a>+25%</color>.	Assets/Product/Texture/Image/IconSkill/R2yongyechaolan1.png	502920	503004	505823	Signal Orb	Tanking Ability	CRIT Up	
72	1	2	18	4	Hardstop Resonance IV	- Passive: When the character is standing still, CRIT Rate +<color=#67ef8a>50%</color>, CRIT DMG +<color=#67ef8a>75%</color>. Blue Orb drop rate +<color=#67ef8a>25%</color>.	Assets/Product/Texture/Image/IconSkill/R2yongyechaolan1.png	502920	503004	505824	Signal Orb	Tanking Ability	CRIT Up	
