NodeId	NodeName	NodeType	NodeGroup	NodeCost	NodeCondition	TextUnlock	TextLocked	NodeIcon	NodeStats[1]	NodeStats[2]	NodeStats[3]	NodeStats[4]	NodeStatsNum[1]	NodeStatsNum[2]	NodeStatsNum[3]	NodeStatsNum[4]	PreNode	RewardItemIds[1]	RewardItemIds[2]	RewardItemIds[3]	RewardItemIds[4]	RewardItemIds[5]	RewardItemIds[6]	ShopFreshCount
12	Window Time		2	50		Chain duration <color=#67ef8a>+2</color>s	Combo duration <color=#67ef8a>+2</color>s	Assets/Product/Texture/Image/UiPBR/IconComboBoostWindowUp.png	77				2				11							
13	Livline	2	5	100	865016	Unlocks Red Orb Skill: [Countering Swordplay]\nUnlocks Items: [Renewed Dawn], [Scale]	Unlocks Red Orb Skill: [Countering Swordplay]\nUnlocks Items: [Renewed Dawn], [Scale]	Assets/Product/Texture/Image/UiPBR/IconPBRItemUp.png									8	45	46	47	48	203	204	
14	Victory Barrage	2	5	100	865016	Unlocks Red Orb Skill [Precise Shots]	Unlocks Red Orb Skill [Precise Shots]	Assets/Product/Texture/Image/UiPBR/IconPBRItemUp.png									8	133	134	135	136			
15	Refresh	1	3	75	865019	Shop refresh attempts <color=#67ef8a>+2</color>	Shop refresh attempts <color=#67ef8a>+2</color>	Assets/Product/Texture/Image/UiPBR/IconBuyCountUp.png									12							2
16	Sound Wave		3	50		Range <color=#67ef8a>+2</color>	Range <color=#67ef8a>+2</color>	Assets/Product/Texture/Image/UiPBR/IconBasicAttackRangeUp.png	75				2				15							
17	Knockback		3	50		Knockback <color=#67ef8a>+1</color>	Knockback <color=#67ef8a>+1</color>	Assets/Product/Texture/Image/UiPBR/IconBasicAttackKnockbackUp.png	78				1				16							
18	Vital Boost		3	50		HP Growth <color=#67ef8a>+2</color>	HP Growth <color=#67ef8a>+2</color>	Assets/Product/Texture/Image/UiPBR/IconHpPerLevelUp.png	17				2				15							
19	Grand Performance		3	50		Lifesteal Efficiency (Fever) <color=#67ef8a>+1%</color>	Lifesteal Efficiency (Fever) <color=#67ef8a>+1%</color>	Assets/Product/Texture/Image/UiPBR/IconFeverLifestealRate.png	63				100				18							
20	Showtime	1	3	200	865020	Fever Duration <color=#67ef8a>+2</color>s, Fever DMG <color=#67ef8a>+50%</color>, Fever Armor <color=#67ef8a>+6</color>, Fever Lifesteal Efficiency <color=#67ef8a>+1%</color>	Fever Duration <color=#67ef8a>+2</color>s, Fever DMG <color=#67ef8a>+50%</color>, Fever Armor <color=#67ef8a>+6</color>, Fever Lifesteal Efficiency <color=#67ef8a>+1%</color>	Assets/Product/Texture/Image/UiPBR/IconFeverComboBoostWindow.png	61	60	59	63	2000	5000	6	100	19							
21	Sound Dominion	2	6	100	865021	Unlocks Red Orb Skill: [Thundering Rush]\nUnlocks Item: [Whatever You Want]	Unlocks Red Orb Skill: [Thundering Rush]\nUnlocks Item: [Whatever You Want]	Assets/Product/Texture/Image/UiPBR/IconPBRItemUp.png									15	21	22	23	24	225		
22	Miracle Moment	2	6	100	865021	Unlocks Item [Small Round Thing]	Unlock Item [Small Round Thing]	Assets/Product/Texture/Image/UiPBR/IconPBRItemUp.png									15	224						
23	Placeholder_不可见道具用节点			1000000													20	249	73	74	75	76		
